T3144 22839:861 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22840:064 JLINK_IsHalted()  returns FALSE (0008ms, 141267ms total)
T3144 22840:275 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22840:476 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22840:677 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22840:879 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22841:080 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22841:282 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22841:482 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22841:684 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22841:885 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22842:088 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22842:289 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22842:492 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22842:693 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22842:895 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22843:096 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22843:298 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22843:500 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22843:700 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22843:902 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22844:103 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22844:304 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22844:506 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22844:706 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22844:908 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22845:109 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22845:309 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22845:510 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22845:712 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22845:913 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22846:115 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22846:315 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22846:517 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22846:717 JLINK_IsHalted()  returns FALSE (0002ms, 141261ms total)
T3144 22846:920 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22847:121 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22847:322 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22847:522 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22847:722 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22847:923 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22848:124 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22848:325 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22848:526 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22848:730 JLINK_IsHalted()  returns FALSE (0000ms, 141259ms total)
T3144 22848:930 JLINK_IsHalted()  returns FALSE (0001ms, 141260ms total)
T3144 22849:131 JLINK_IsHalted()  returns FALSE (0001ms, 141261ms total)
T3144 22849:333 JLINK_IsHalted()  returns FALSE (0001ms, 141261ms total)
T3144 22849:535 JLINK_IsHalted()  returns FALSE (0001ms, 141261ms total)
T3144 22849:736 JLINK_IsHalted()  returns FALSE (0000ms, 141260ms total)
T3144 22849:937 JLINK_IsHalted()  returns FALSE (0001ms, 141261ms total)
T3144 22850:140 JLINK_IsHalted()  returns FALSE (0001ms, 141261ms total)
T3144 22850:342 JLINK_IsHalted()  returns FALSE (0000ms, 141260ms total)
T3144 22850:543 JLINK_IsHalted()  returns FALSE (0000ms, 141260ms total)
T3144 22850:744 JLINK_IsHalted()  returns FALSE (0001ms, 141261ms total)
T3144 22850:945 JLINK_IsHalted()  returns FALSE (0000ms, 141260ms total)
T3144 22851:146 JLINK_IsHalted()  returns FALSE (0000ms, 141260ms total)
T3144 22851:347 JLINK_IsHalted()  returns FALSE (0001ms, 141261ms total)
T3144 22851:549 JLINK_IsHalted()  returns FALSE (0000ms, 141260ms total)
T3144 22851:752 JLINK_IsHalted()  returns FALSE (0000ms, 141260ms total)
T3144 22851:957 JLINK_IsHalted()  returns FALSE (0001ms, 141261ms total)
T3144 22852:160 JLINK_IsHalted()  returns FALSE (0000ms, 141260ms total)
